,0x0,0xffffffff,0x7fffffff
delta_xy,0xb12c58c9,0x4ed3a736,0x4ed3a736
center_xy,0x69edbcbe,0x96124341,0x16124341
vec_x,0x952428af,0x6adbd750,0x6adbd750
vec_y,0xe2231839,0x1ddce7c6,0x1ddce7c6
VS_SSAOMakeOcclusionMap,0xfeece60a,0x11319f5,0x11319f5
FSSAOBounce,0x2fa0b597,0xd05f4a68,0x505f4a68
ldir,0x155e34a5,0xeaa1cb5a,0x6aa1cb5a
sender_normal,0xdf4e56fb,0x20b1a904,0x20b1a904
sender_factor,0x13f3d21f,0xec0c2de0,0x6c0c2de0
sender_color,0x79732171,0x868cde8e,0x68cde8e
receiver_factor,0xd397ff8f,0x2c680070,0x2c680070
FSSAOBounceDisable,0x68e69e47,0x971961b8,0x171961b8
getIntensityBothFaces,0xaf76609d,0x50899f62,0x50899f62
occ_z,0x33b1e3ac,0xcc4e1c53,0x4c4e1c53
front_depth,0xbe9fe1a0,0x41601e5f,0x41601e5f
back_depth,0x6b0cc7cd,0x94f33832,0x14f33832
bf_delta,0xb233b296,0x4dcc4d69,0x4dcc4d69
getIntensitySingleFace,0x481e4884,0xb7e1b77b,0x37e1b77b
FSSAOIntensityDisable,0x3e8aed40,0xc17512bf,0x417512bf
getBiasedViewPosition,0xb47ffde0,0x4b80021f,0x4b80021f
tsp,0xf8ae4297,0x751bd68,0x751bd68
getOccluderMatrix,0x48f86ec5,0xb707913a,0x3707913a
getScaleOffset,0x2d01a6aa,0xd2fe5955,0x52fe5955
PS_SSAOMakeOcclusionMap,0x13269470,0xecd96b8f,0x6cd96b8f
inv_radius,0x6fc5d34a,0x903a2cb5,0x103a2cb5
vmat,0x49197ec,0xfb6e6813,0x7b6e6813
org_pos,0x619cc4af,0x9e633b50,0x1e633b50
occ_dir,0x66e42fed,0x991bd012,0x191bd012
occ_pos,0x5c96b351,0xa3694cae,0x23694cae
occ_tex,0x36a22a8f,0xc95dd570,0x495dd570
bounce,0x823cf459,0x7dc30ba6,0x7dc30ba6
global_occlusion,0x650fa416,0x9af05be9,0x1af05be9
PS_SSAOMakeSingleFaceOcclusionMap,0xf296c63e,0xd6939c1,0xd6939c1
FSSAOApplyAmbientOcclusion,0x630834c2,0x9cf7cb3d,0x1cf7cb3d
local,0x8bd688e8,0x74297717,0x74297717
global,0xe8058b83,0x17fa747c,0x17fa747c
